price,sertifikasi,n_bed,n_bath,luas_bangunan,area,city
9000000000,hgb,6,6,500,Grogol Petamburan, Jakarta Barat
1000000000,hgb,2,1,43,Menteng, Jakarta Pusat
800000000,hgb,3,2,150,Sawah Besar, Jakarta Pusat
2000000000,hgb,4,2,200,Cilandak, Jakarta Selatan
875000000,hgb,2,2,55,Grogol Petamburan, Jakarta Barat
2200000000,hgb,7,2,100,Pancoran, Jakarta Selatan
10000000000,hgb,6,5,500,Kelapa Gading, Jakarta Utara
10500000000,hgb,3,3,200,Cibubur, Jakarta Timur
1800000000,hgb,3,2,90,Cengkareng, Jakarta Barat
3400000000,hgb,7,4,340,Cilandak, Jakarta Selatan
870000000,hgb,3,2,95,Senen, Jakarta Pusat
650000000,hgb,2,1,78,Tebet, Jakarta Selatan
5500000000,hgb,3,3,144,Cengkareng, Jakarta Barat
3500000000,hgb,3,2,300,Pesanggrahan, Jakarta Selatan
2650000000,hgb,4,5,200,Cibubur, Jakarta Timur
1980000003,hgb,3,3,119,Pesanggrahan, Jakarta Selatan
1920000005,hgb,4,3,104,Pesanggrahan, Jakarta Selatan
2225000000,hgb,4,3,157,Cibubur, Jakarta Timur
4000000000,hgb,5,4,147,Kalideres, Jakarta Barat
5500000000,hgb,4,2,116,Kalideres, Jakarta Barat
6784000000,hgb,5,5,196,Pantai Indah Kapuk, Jakarta Utara
5707000000,hgb,4,4,183,Pantai Indah Kapuk, Jakarta Utara
17000000000,hgb,5,4,300,Kebayoran Lama, Jakarta Selatan
8691000000,hgb,5,5,289,Pantai Indah Kapuk, Jakarta Utara
10990000000,hgb,5,5,374,Pantai Indah Kapuk, Jakarta Utara
2500000000,hgb,5,2,58,Sawah Besar, Jakarta Pusat
5500000000,hgb,3,2,315,Kalideres, Jakarta Barat
18000000001,hgb,9,5,265,Palmerah, Jakarta Barat
680000000,hgb,2,1,52,Kebayoran Lama, Jakarta Selatan
3200000000,hgb,6,4,250,Menteng, Jakarta Pusat
8233137000,hgb,4,4,381,Kebayoran Baru, Jakarta Selatan
300000000,hgb,1,1,33,Matraman, Jakarta Timur
3150000000,hgb,5,4,418,Cakung, Jakarta Timur
4500000000,hgb,5,4,229,Cakung, Jakarta Timur
3400000000,hgb,4,3,138,Cakung, Jakarta Timur
3800000000,hgb,5,4,181,Cakung, Jakarta Timur
55000000000,hgb,10,10,1500,Setia Budi, Jakarta Selatan
975000000,hgb,3,2,95,Cibubur, Jakarta Timur
160000000,hgb,3,1,3,Penjaringan, Jakarta Utara
3602800000,hgb,3,2,300,Jagakarsa, Jakarta Selatan
3100000000,hgb,4,3,200,Kelapa Gading, Jakarta Utara
2000000000,hgb,3,2,140,Cibubur, Jakarta Timur
3750000000,hgb,5,5,300,Kalideres, Jakarta Barat
5500000000,hgb,10,7,275,Setia Budi, Jakarta Selatan
459000000,hgb,2,2,120,Menteng, Jakarta Pusat
2300000000,hgb,4,3,144,Cibubur, Jakarta Timur
9500000000,hgb,6,6,400,Kebayoran Lama, Jakarta Selatan
3050000000,hgb,3,3,128,Pantai Indah Kapuk, Jakarta Utara
985000000,hgb,2,1,96,Cibubur, Jakarta Timur
2600000000,hgb,5,4,200,Pulo Gadung, Jakarta Timur
3800000000,hgb,3,2,150,Kebayoran Lama, Jakarta Selatan
2700000000,hgb,4,3,108,Cakung, Jakarta Timur
2000000000,hgb,3,2,88,Gambir, Jakarta Pusat
175000003,hgb,2,1,30,Palmerah, Jakarta Barat
885000000,hgb,2,1,98,Tambora, Jakarta Barat
5400000000,hgb,3,3,262,Kemang, Jakarta Selatan
650000000,hgb,3,1,58,Cempaka Putih, Jakarta Pusat
2300000000,hgb,4,3,118,Pasar Rebo, Jakarta Timur
2700000000,hgb,4,3,180,Pasar Minggu, Jakarta Selatan
1650000000,hgb,3,2,120,Tanjung Barat, Jakarta Selatan
5000000000,hgb,8,2,297,Cilangkap, Jakarta Timur
6600000000,hgb,3,3,250,Pulo Gadung, Jakarta Timur
3000000000,hgb,4,4,196,Kalideres, Jakarta Barat
3300000000,hgb,4,3,8,Koja, Jakarta Utara
5100000000,hgb,4,4,210,Pantai Indah Kapuk, Jakarta Utara
6500000000,hgb,3,3,223,Pantai Indah Kapuk, Jakarta Utara
2600000000,hgb,4,3,150,Penjaringan, Jakarta Utara
1700000000,hgb,3,2,120,Cibubur, Jakarta Timur
220000000,hgb,1,1,25,Kebon Jeruk, Jakarta Barat
3850000000,hgb,5,4,185,Setia Budi, Jakarta Selatan
2650000000,hgb,4,4,288,Tebet, Jakarta Selatan
45000000,hgb,2,1,30,Cibubur, Jakarta Timur
2769170000,hgb,3,2,87,Tebet, Jakarta Selatan
1300000000,hgb,2,1,90,Grogol Petamburan, Jakarta Barat
400000000,hgb,2,2,72,Cengkareng, Jakarta Barat
2800000000,hgb,1,4,250,Grogol Petamburan, Jakarta Barat
750000000,hgb,3,1,64,Palmerah, Jakarta Barat
697000000,hgb,1,1,0,Cibubur, Jakarta Timur
1200000000,hgb,1,1,0,Cibubur, Jakarta Timur
1500000000,hgb,3,2,57,Cibubur, Jakarta Timur
6000000000,hgb,5,5,267,Cibubur, Jakarta Timur
700000000,hgb,3,2,33,Pademangan, Jakarta Utara
1700000000,hgb,3,2,140,Cibubur, Jakarta Timur
600000000,hgb,2,1,40,Kembangan, Jakarta Barat
6000000000,hgb,5,5,252,Cibubur, Jakarta Timur
5500000000,hgb,7,5,225,Tanjung Priok, Jakarta Utara
7500000000,hgb,3,4,240,Penjaringan, Jakarta Utara
3300000000,hgb,3,3,120,Penjaringan, Jakarta Utara
1000000000,hgb,3,2,99,Cibubur, Jakarta Timur
4773585328,hgb,5,5,250,Cakung, Jakarta Timur
11600000000,hgb,5,5,700,Cibubur, Jakarta Timur
33000000,hgb,1,1,5200,Penjaringan, Jakarta Utara
1700000000,hgb,3,2,145,Cibubur, Jakarta Timur
2600000,hgb,1,2,60,Pasar Minggu, Jakarta Selatan
1000000000,hgb,2,1,70,Cibubur, Jakarta Timur
1500000000,hgb,7,2,90,Menteng, Jakarta Pusat
5800000000,hgb,6,5,328,Cakung, Jakarta Timur
1300000000,hgb,3,2,98,Cakung, Jakarta Timur
2150000000,hgb,4,3,132,Cakung, Jakarta Timur
3600000000,hgb,4,2,140,Pancoran, Jakarta Selatan
2100000000,hgb,2,2,150,Tanah Abang, Jakarta Pusat
1100000000,hgb,5,3,160,Jatinegara, Jakarta Timur
5900000000,hgb,4,4,400,Kemang, Jakarta Selatan
350000000,hgb,1,1,21,Pademangan, Jakarta Utara
3000000000,hgb,5,4,176,Cengkareng, Jakarta Barat
17000000000,hgb,5,5,900,Pantai Indah Kapuk, Jakarta Utara
1920000000,hgb,4,3,104,Pesanggrahan, Jakarta Selatan
14999999999,hgb,4,4,600,Pantai Indah Kapuk, Jakarta Utara
13000000000,hgb,5,3,300,Senen, Jakarta Pusat
4500000000,hgb,3,2,210,Tanah Abang, Jakarta Pusat
930032682,hgb,2,1,45,Kebayoran Lama, Jakarta Selatan
2000000000,hgb,3,2,100,Duren Sawit, Jakarta Timur
1650000000,hgb,4,2,200,Cilincing, Jakarta Utara
3000000000,hgb,4,2,250,Cakung, Jakarta Timur
800000000,hgb,3,1,120,Duren Sawit, Jakarta Timur
1900000000,hgb,4,3,90,Kebayoran Lama, Jakarta Selatan
1980000000,hgb,3,3,119,Kebayoran Lama, Jakarta Selatan
1680000000,hgb,4,3,88,Pesanggrahan, Jakarta Selatan
1750000000,hgb,3,3,94,Pesanggrahan, Jakarta Selatan
1950000000,hgb,5,4,144,Cengkareng, Jakarta Barat
2649000000,hgb,5,4,160,Kembangan, Jakarta Barat
6000000000,hgb,7,7,350,Cengkareng, Jakarta Barat
850000000,hgb,3,1,80,Cengkareng, Jakarta Barat
7300000000,hgb,6,6,200,Kemayoran, Jakarta Pusat
3500000000,hgb,5,4,300,Tanjung Barat, Jakarta Selatan
3241248986,hgb,5,4,140,Cakung, Jakarta Timur
1100000000,hgb,5,2,200,Jagakarsa, Jakarta Selatan
490000000,hgb,3,2,70,Cibubur, Jakarta Timur
3200000000,hgb,6,4,190,Cengkareng, Jakarta Barat
160,hgb,1,1,21,Taman Sari, Jakarta Barat
13000000000,hgb,5,2,481,Cilandak, Jakarta Selatan
2400000000,hgb,5,4,240,Pancoran, Jakarta Selatan
4000000000,hgb,4,4,275,Cakung, Jakarta Timur
8800000000,hgb,6,7,324,Kelapa Gading, Jakarta Utara
5800000000,hgb,5,6,218,Kelapa Gading, Jakarta Utara
3900000000,hgb,5,6,178,Kelapa Gading, Jakarta Utara
850000000,hgb,4,1,60,Pademangan, Jakarta Utara
1400000000,hgb,4,3,89,Cilincing, Jakarta Utara
400000000,hgb,8,2,350,Sawah Besar, Jakarta Pusat
800000000,hgb,4,1,80,Tanjung Priok, Jakarta Utara
20000000,hgb,2,1,25,Pasar Rebo, Jakarta Timur
2150000000,hgb,3,2,98,Tanah Abang, Jakarta Pusat
5000000000,hgb,9,3,280,Koja, Jakarta Utara
13000000000,hgb,6,3,481,Cilandak, Jakarta Selatan
7000000000,hgb,3,5,350,Pantai Indah Kapuk, Jakarta Utara
3200000000,hgb,6,3,260,Kalideres, Jakarta Barat
800000000,hgb,6,2,120,Penjaringan, Jakarta Utara
130000000,hgb,1,1,12,Matraman, Jakarta Timur
30000000,hgb,2,1,60,Kebon Jeruk, Jakarta Barat
1500000000,hgb,3,3,76,Setia Budi, Jakarta Selatan
1500000000,hgb,2,2,90,Cibubur, Jakarta Timur
12000000000,hgb,8,5,350,Pulo Gadung, Jakarta Timur
1600000000,hgb,2,1,90,Cengkareng, Jakarta Barat
398000000,hgb,2,2,60,Cibubur, Jakarta Timur
225000000,hgb,1,1,25,Kebon Jeruk, Jakarta Barat
585000000,hgb,2,1,36,Cibubur, Jakarta Timur
33000000000,hgb,6,5,600,Kebayoran Lama, Jakarta Selatan
16500000000,hgb,5,5,820,Penjaringan, Jakarta Utara
30000000000,hgb,4,3,350,Menteng, Jakarta Pusat
6750000000,hgb,7,6,348,Kembangan, Jakarta Barat
3500000000,hgb,6,3,300,Jatinegara, Jakarta Timur
13890000000,hgb,4,2,210,Tebet, Jakarta Selatan
1500000000,hgb,4,3,120,Cilincing, Jakarta Utara
13900000000,hgb,8,4,325,Cempaka Putih, Jakarta Pusat
1600000000,hgb,3,2,72,Jagakarsa, Jakarta Selatan
1800000000,hgb,3,3,119,Cilangkap, Jakarta Timur
1800000000,hgb,4,3,99,Tanah Abang, Jakarta Pusat
1200000000,hgb,4,2,120,Gambir, Jakarta Pusat
23000000000,hgb,4,3,345,Menteng, Jakarta Pusat
10800000000,hgb,5,5,572,Cibubur, Jakarta Timur
2000000000,hgb,4,2,140,Kebayoran Lama, Jakarta Selatan
1485000000,hgb,3,2,200,Pasar Minggu, Jakarta Selatan
400000000,hgb,2,2,80,Palmerah, Jakarta Barat
8000000000,hgb,2,2,100,Duren Sawit, Jakarta Timur
200000000,hgb,2,1,8,Cilincing, Jakarta Utara
3900000000,hgb,4,2,100,Duren Sawit, Jakarta Timur
3500000000,hgb,5,5,330,Duren Sawit, Jakarta Timur
2000000000,hgb,4,2,140,Cilandak, Jakarta Selatan
1500000000,hgb,4,4,110,Mampang Prapatan, Jakarta Selatan
1600000000,hgb,3,2,58,Kalideres, Jakarta Barat
4090000000,hgb,4,2,215,Pancoran, Jakarta Selatan
200000000,hgb,2,1,72,Pademangan, Jakarta Utara
4500000000,hgb,5,5,108,Pademangan, Jakarta Utara
699000000,hgb,1,1,80,Mampang Prapatan, Jakarta Selatan
4900000000,hgb,6,5,320,Cibubur, Jakarta Timur
680000000,hgb,2,2,51,Kalideres, Jakarta Barat
600000000,hgb,4,2,100,Duren Sawit, Jakarta Timur
2900000000,hgb,3,3,112,Cengkareng, Jakarta Barat
6700000000,hgb,4,4,263,Cilandak, Jakarta Selatan
2320000000,hgb,2,2,69,Cilincing, Jakarta Utara
1747884473,hgb,5,3,93,Cakung, Jakarta Timur
2800000000,hgb,3,3,108,Cengkareng, Jakarta Barat
3000000000,hgb,4,4,270,Cengkareng, Jakarta Barat
3000000000,hgb,6,4,220,Cibubur, Jakarta Timur
825000000,hgb,4,2,40,Taman Sari, Jakarta Barat
3850000000,hgb,4,2,140,Pancoran, Jakarta Selatan
2750000000,hgb,3,3,220,Grogol Petamburan, Jakarta Barat
5900000000,hgb,1,1,100,Kebon Jeruk, Jakarta Barat
23000000000,hgb,4,3,354,Menteng, Jakarta Pusat
1680700700,hgb,4,3,88,Pesanggrahan, Jakarta Selatan
9500000000,hgb,5,3,280,Tebet, Jakarta Selatan
850000000,hgb,3,1,108,Tebet, Jakarta Selatan
2700000000,hgb,4,3,180,Bambu Apus, Jakarta Timur
3900000000,hgb,4,3,300,Cibubur, Jakarta Timur
2300000000,hgb,4,3,118,Pancoran, Jakarta Selatan
3822300000,hgb,5,4,359,Kalideres, Jakarta Barat
9000000000,hgb,5,4,350,Setia Budi, Jakarta Selatan
800000000,hgb,1,1,36,Tambora, Jakarta Barat
1980000000,hgb,3,3,119,Pesanggrahan, Jakarta Selatan
750000000,hgb,2,1,70,Cibubur, Jakarta Timur
9500000000,hgb,6,4,260,Cipayung, Jakarta Timur
1800000000,hgb,9,3,129,Cempaka Putih, Jakarta Pusat
19000000000,hgb,4,4,400,Kebayoran Lama, Jakarta Selatan
2200000000,hgb,6,6,375,Tanjung Priok, Jakarta Utara
495000000,hgb,3,2,70,Cibubur, Jakarta Timur
12000000000,hgb,6,4,178,Tanah Abang, Jakarta Pusat
5900000000,hgb,4,4,400,Bambu Apus, Jakarta Timur
3100000000,hgb,6,2,350,Kebayoran Baru, Jakarta Selatan
235000000,hgb,2,2,61,Cengkareng, Jakarta Barat
7000000000,hgb,4,3,250,Setia Budi, Jakarta Selatan
1175000000,hgb,3,3,70,Jagakarsa, Jakarta Selatan
250000000,hgb,1,1,22,Tanah Abang, Jakarta Pusat
5500000000,hgb,8,6,280,Duren Sawit, Jakarta Timur
6700000000,hgb,5,5,246,Pesanggrahan, Jakarta Selatan
185000000,hgb,2,1,27,Pancoran, Jakarta Selatan
2500000000,hgb,6,5,200,Tebet, Jakarta Selatan
1500000000,hgb,2,1,63,Ciracas, Jakarta Timur
200000000,hgb,3,1,60,Cakung, Jakarta Timur
9000000000,hgb,4,3,300,Tanjung Priok, Jakarta Utara
950000000,hgb,3,2,70,Matraman, Jakarta Timur
2300000000,hgb,4,3,118,Cibubur, Jakarta Timur
250000000,hgb,4,4,180,Cibubur, Jakarta Timur
875000000,lainnya,2,1,90,Tambora, Jakarta Barat
125000000,lainnya,1,1,21,Cilandak, Jakarta Selatan
110000000,lainnya,2,1,25,Jatinegara, Jakarta Timur
510000000,lainnya,4,2,128,Tanah Abang, Jakarta Pusat
6700000000,lainnya,5,4,600,Kelapa Gading, Jakarta Utara
6500000000,lainnya,5,5,218,Cakung, Jakarta Timur
235000000,lainnya,1,1,40,Cipayung, Jakarta Timur
240000000,lainnya,1,1,60,Pancoran, Jakarta Selatan
450000000,lainnya,2,1,42,Kramat Jati, Jakarta Timur
350000000,lainnya,3,3,63,Tanjung Priok, Jakarta Utara
300000000,lainnya,4,2,100,Kemang, Jakarta Selatan
1200000000,lainnya,3,2,144,Cakung, Jakarta Timur
8300000000,lainnya,4,4,450,Penjaringan, Jakarta Utara
24000000000,lainnya,7,7,600,Penjaringan, Jakarta Utara
9000000000,lainnya,4,4,450,Penjaringan, Jakarta Utara
14000000000,lainnya,4,5,480,Penjaringan, Jakarta Utara
2500000000,lainnya,3,2,118,Taman Sari, Jakarta Barat
450000000,lainnya,3,3,52,Kebon Jeruk, Jakarta Barat
1300000000,lainnya,3,1,150,Makasar, Jakarta Timur
1900000000,lainnya,3,2,300,Pulo Gadung, Jakarta Timur
4600000000,lainnya,3,3,143,Penjaringan, Jakarta Utara
8300000000,lainnya,3,4,300,Penjaringan, Jakarta Utara
5950000000,lainnya,3,4,240,Penjaringan, Jakarta Utara
5900000000,lainnya,4,5,320,Penjaringan, Jakarta Utara
6000000000,lainnya,4,4,240,Penjaringan, Jakarta Utara
3300000000,lainnya,3,4,126,Penjaringan, Jakarta Utara
1300000000,lainnya,2,1,72,Pantai Indah Kapuk, Jakarta Utara
315000000,lainnya,2,1,46,Cipayung, Jakarta Timur
3600000000,lainnya,5,5,176,Cipayung, Jakarta Timur
2850000000,lainnya,5,5,220,Cengkareng, Jakarta Barat
4500000000,lainnya,3,3,162,Pantai Indah Kapuk, Jakarta Utara
360000000,lainnya,3,2,70,Duren Sawit, Jakarta Timur
899000000,lainnya,3,2,150,Tambora, Jakarta Barat
435000000,lainnya,2,1,45,Jatinegara, Jakarta Timur
200000000,lainnya,1,1,20,Tambora, Jakarta Barat
1249000000,lainnya,4,4,200,Duren Sawit, Jakarta Timur
2400000000,lainnya,4,3,168,Cakung, Jakarta Timur
4300000000,lainnya,3,3,120,Penjaringan, Jakarta Utara
1125000000,lainnya,2,2,63,Penjaringan, Jakarta Utara
1800000000,lainnya,3,3,98,Penjaringan, Jakarta Utara
500000000,lainnya,2,1,80,Cipayung, Jakarta Timur
53000000000,lainnya,3,3,741,Setia Budi, Jakarta Selatan
625000000,lainnya,1,1,50,Tebet, Jakarta Selatan
90000000,lainnya,2,1,30,Menteng, Jakarta Pusat
1333000000,lainnya,5,3,200,Kebayoran Lama, Jakarta Selatan
1400000000,lainnya,1,1,0,Kelapa Gading, Jakarta Utara
1200000000,lainnya,4,3,140,Jatinegara, Jakarta Timur
5500000000,lainnya,3,3,210,Penjaringan, Jakarta Utara
9000000000,lainnya,5,6,450,Kebon Jeruk, Jakarta Barat
2241,lainnya,1,1,90,Kebon Jeruk, Jakarta Barat
2700000000,lainnya,3,4,160,Cakung, Jakarta Timur
800000000,lainnya,1,1,96,Palmerah, Jakarta Barat
6500000000,lainnya,8,4,200,Jagakarsa, Jakarta Selatan
35000000,lainnya,1,1,18,Kemayoran, Jakarta Pusat
185000000,lainnya,2,1,36,Kalideres, Jakarta Barat
2800000000,lainnya,3,3,130,Pantai Indah Kapuk, Jakarta Utara
2400000000,lainnya,3,3,105,Pantai Indah Kapuk, Jakarta Utara
1700000000,lainnya,2,2,79,Pantai Indah Kapuk, Jakarta Utara
450000000,lainnya,2,2,72,Tambora, Jakarta Barat
3200000000,lainnya,4,3,176,Kebon Jeruk, Jakarta Barat
2700000000,lainnya,3,3,155,Kebon Jeruk, Jakarta Barat
2000000000,lainnya,3,3,110,Kebon Jeruk, Jakarta Barat
5500000000,lainnya,4,3,250,Kebon Jeruk, Jakarta Barat
1980000000,lainnya,3,3,96,Kebon Jeruk, Jakarta Barat
1300000000,lainnya,2,2,84,Pesanggrahan, Jakarta Selatan
8500000000,lainnya,4,2,200,Tebet, Jakarta Selatan
900000000,lainnya,3,1,76,Matraman, Jakarta Timur
225000000,lainnya,1,1,21,Jatinegara, Jakarta Timur
5200000000,lainnya,4,4,280,Pantai Indah Kapuk, Jakarta Utara
3000000000,lainnya,3,3,150,Pantai Indah Kapuk, Jakarta Utara
790000000,lainnya,2,2,40,Ciracas, Jakarta Timur
3000000000,lainnya,3,3,120,Pantai Indah Kapuk, Jakarta Utara
1200000000,lainnya,4,4,128,Kalideres, Jakarta Barat
525000000,lainnya,2,1,36,Ciracas, Jakarta Timur
3500000000,lainnya,3,2,200,Tambora, Jakarta Barat
1200000000,lainnya,2,1,113,Kembangan, Jakarta Barat
180000,lainnya,1,1,25,Pasar Minggu, Jakarta Selatan
850000000,lainnya,3,2,80,Cibubur, Jakarta Timur
1400000000,lainnya,10,10,350,Kembangan, Jakarta Barat
58000000000,lainnya,10,10,800,Tanah Abang, Jakarta Pusat
100000000,lainnya,1,1,44,Makasar, Jakarta Timur
500000000,lainnya,1,1,28,Jagakarsa, Jakarta Selatan
5050000000,lainnya,4,4,201,Pantai Indah Kapuk, Jakarta Utara
325000000,lainnya,2,1,40,Duren Sawit, Jakarta Timur
155000000,lainnya,2,1,30,Kebayoran Lama, Jakarta Selatan
2800000000,lainnya,3,3,135,Cengkareng, Jakarta Barat
3500000000,lainnya,4,5,132,Penjaringan, Jakarta Utara
2700000000,lainnya,3,4,60,Penjaringan, Jakarta Utara
395000000,lainnya,2,1,75,Cilangkap, Jakarta Timur
361350000,lainnya,2,1,36,Matraman, Jakarta Timur
360000000,lainnya,2,1,39,Matraman, Jakarta Timur
650000000,lainnya,2,1,105,Ciracas, Jakarta Timur
450000000,lainnya,3,1,78,Kramat Jati, Jakarta Timur
2700000000,lainnya,3,3,60,Menteng, Jakarta Pusat
11000000,lainnya,3,2,114,Cengkareng, Jakarta Barat
6200000000,lainnya,7,2,300,Setia Budi, Jakarta Selatan
1599000000,lainnya,5,2,300,Duren Sawit, Jakarta Timur
900000000,lainnya,3,2,125,Duren Sawit, Jakarta Timur
200000000,lainnya,1,1,30,Makasar, Jakarta Timur
