"price","desc","loc"
"Rp 875.000.000","2 KT - 1 KM - 90 m2","Tambora, Jakarta Barat"
"Rp 125.000.000","1 KT - 1 KM - 21 m2","Cilandak, Jakarta Selatan"
"Rp 110.000.000","2 KT - 1 KM - 25 m2","Jatinegara, Jakarta Timur"
"Rp 510.000.000","4 KT - 2 KM - 128 m2","Tanah Abang, Jakarta Pusat"
"Rp 6.700.000.000","5 KT - 4 KM - 600 m2","Kelapa Gading, Jakarta Utara"
"Rp 6.500.000.000","5 KT - 5 KM - 218 m2","Cakung, Jakarta Timur"
"Rp 235.000.000","1 KT - 1 KM - 40 m2","Cipayung, Jakarta Timur"
"Rp 240.000.000","1 KT - 1 KM - 60 m2","Pancoran, Jakarta Selatan"
"Rp 450.000.000","2 KT - 1 KM - 42 m2","Kramat Jati, Jakarta Timur"
"Rp 350.000.000","3 KT - 3 KM - 63 m2","Tanjung Priok, Jakarta Utara"
"Rp 300.000.000","4 KT - 2 KM - 100 m2","Kemang, Jakarta Selatan"
"Rp 1.200.000.000","3 KT - 2 KM - 144 m2","Cakung, Jakarta Timur"
"Rp 8.300.000.000","4 KT - 4 KM - 450 m2","Penjaringan, Jakarta Utara"
"Rp 24.000.000.000","7 KT - 7 KM - 600 m2","Penjaringan, Jakarta Utara"
"Rp 9.000.000.000","4 KT - 4 KM - 450 m2","Penjaringan, Jakarta Utara"
"Rp 14.000.000.000","4 KT - 5 KM - 480 m2","Penjaringan, Jakarta Utara"
"Rp 2.500.000.000","3 KT - 2 KM - 118 m2","Taman Sari, Jakarta Barat"
"Rp 450.000.000","3 KT - 3 KM - 52 m2","Kebon Jeruk, Jakarta Barat"
"Rp 1.300.000.000","3 KT - 1 KM - 150 m2","Makasar, Jakarta Timur"
"Rp 1.900.000.000","3 KT - 2 KM - 300 m2","Pulo Gadung, Jakarta Timur"
"Rp 4.600.000.000","3 KT - 3 KM - 143 m2","Penjaringan, Jakarta Utara"
"Rp 8.300.000.000","3 KT - 4 KM - 300 m2","Penjaringan, Jakarta Utara"
"Rp 5.950.000.000","3 KT - 4 KM - 240 m2","Penjaringan, Jakarta Utara"
"Rp 5.900.000.000","4 KT - 5 KM - 320 m2","Penjaringan, Jakarta Utara"
"Rp 6.000.000.000","4 KT - 4 KM - 240 m2","Penjaringan, Jakarta Utara"
"Rp 3.300.000.000","3 KT - 4 KM - 126 m2","Penjaringan, Jakarta Utara"
"Rp 1.300.000.000","2 KT - 1 KM - 72 m2","Pantai Indah Kapuk, Jakarta Utara"
"Rp 315.000.000","2 KT - 1 KM - 46 m2","Cipayung, Jakarta Timur"
"Rp 3.600.000.000","5 KT - 5 KM - 176 m2","Cipayung, Jakarta Timur"
"Rp 2.850.000.000","5 KT - 5 KM - 220 m2","Cengkareng, Jakarta Barat"
"Rp 4.500.000.000","3 KT - 3 KM - 162 m2","Pantai Indah Kapuk, Jakarta Utara"
"Rp 360.000.000","3 KT - 2 KM - 70 m2","Duren Sawit, Jakarta Timur"
"Rp 899.000.000","3 KT - 2 KM - 150 m2","Tambora, Jakarta Barat"
"Rp 435.000.000","2 KT - 1 KM - 45 m2","Jatinegara, Jakarta Timur"
"Rp 200.000.000","1 KT - 1 KM - 20 m2","Tambora, Jakarta Barat"
"Rp 1.249.000.000","4 KT - 4 KM - 200 m2","Duren Sawit, Jakarta Timur"
"Rp 2.400.000.000","4 KT - 3 KM - 168 m2","Cakung, Jakarta Timur"
"Rp 4.300.000.000","3 KT - 3 KM - 120 m2","Penjaringan, Jakarta Utara"
"Rp 1.125.000.000","2 KT - 2 KM - 63 m2","Penjaringan, Jakarta Utara"
"Rp 1.800.000.000","3 KT - 3 KM - 98 m2","Penjaringan, Jakarta Utara"
"Rp 500.000.000","2 KT - 1 KM - 80 m2","Cipayung, Jakarta Timur"
"Rp 53.000.000.000","3 KT - 3 KM - 741 m2","Setia Budi, Jakarta Selatan"
"Rp 625.000.000","1 KT - 1 KM - 50 m2","Tebet, Jakarta Selatan"
"Rp 90.000.000","2 KT - 1 KM - 30 m2","Menteng, Jakarta Pusat"
"Rp 1.333.000.000","5 KT - 3 KM - 200 m2","Kebayoran Lama, Jakarta Selatan"
"Rp 1.400.000.000","1 KT - 1 KM - 0 m2","Kelapa Gading, Jakarta Utara"
"Rp 1.200.000.000","4 KT - 3 KM - 140 m2","Jatinegara, Jakarta Timur"
"Rp 5.500.000.000","3 KT - 3 KM - 210 m2","Penjaringan, Jakarta Utara"
"Rp 9.000.000.000","5 KT - 6 KM - 450 m2","Kebon Jeruk, Jakarta Barat"
"Rp 2.400.000.000","4 KT - 3 KM - 168 m2","Cakung, Jakarta Timur"
"Rp 2.241","1 KT - 1 KM - 90 m2","Kebon Jeruk, Jakarta Barat"
"Rp 2.700.000.000","3 KT - 4 KM - 160 m2","Cakung, Jakarta Timur"
"Rp 800.000.000","1 KT - 1 KM - 96 m2","Palmerah, Jakarta Barat"
"Rp 6.500.000.000","8 KT - 4 KM - 200 m2","Jagakarsa, Jakarta Selatan"
"Rp 35.000.000","1 KT - 1 KM - 18 m2","Kemayoran, Jakarta Pusat"
"Rp 185.000.000","2 KT - 1 KM - 36 m2","Kalideres, Jakarta Barat"
"Rp 2.800.000.000","3 KT - 3 KM - 130 m2","Pantai Indah Kapuk, Jakarta Utara"
"Rp 2.400.000.000","3 KT - 3 KM - 105 m2","Pantai Indah Kapuk, Jakarta Utara"
"Rp 1.700.000.000","2 KT - 2 KM - 79 m2","Pantai Indah Kapuk, Jakarta Utara"
"Rp 450.000.000","2 KT - 2 KM - 72 m2","Tambora, Jakarta Barat"
"Rp 3.200.000.000","4 KT - 3 KM - 176 m2","Kebon Jeruk, Jakarta Barat"
"Rp 2.700.000.000","3 KT - 3 KM - 155 m2","Kebon Jeruk, Jakarta Barat"
"Rp 2.000.000.000","3 KT - 3 KM - 110 m2","Kebon Jeruk, Jakarta Barat"
"Rp 5.500.000.000","4 KT - 3 KM - 250 m2","Kebon Jeruk, Jakarta Barat"
"Rp 1.980.000.000","3 KT - 3 KM - 96 m2","Kebon Jeruk, Jakarta Barat"
"Rp 1.300.000.000","2 KT - 2 KM - 84 m2","Pesanggrahan, Jakarta Selatan"
"Rp 8.500.000.000","4 KT - 2 KM - 200 m2","Tebet, Jakarta Selatan"
"Rp 900.000.000","3 KT - 1 KM - 76 m2","Matraman, Jakarta Timur"
"Rp 225.000.000","1 KT - 1 KM - 21 m2","Jatinegara, Jakarta Timur"
"Rp 5.200.000.000","4 KT - 4 KM - 280 m2","Pantai Indah Kapuk, Jakarta Utara"
"Rp 3.000.000.000","3 KT - 3 KM - 150 m2","Pantai Indah Kapuk, Jakarta Utara"
"Rp 790.000.000","2 KT - 2 KM - 40 m2","Ciracas, Jakarta Timur"
"Rp 3.000.000.000","3 KT - 3 KM - 120 m2","Pantai Indah Kapuk, Jakarta Utara"
"Rp 1.200.000.000","4 KT - 4 KM - 128 m2","Kalideres, Jakarta Barat"
"Rp 525.000.000","2 KT - 1 KM - 36 m2","Ciracas, Jakarta Timur"
"Rp 3.500.000.000","3 KT - 2 KM - 200 m2","Tambora, Jakarta Barat"
"Rp 1.200.000.000","2 KT - 1 KM - 113 m2","Kembangan, Jakarta Barat"
"Rp 180.000","1 KT - 1 KM - 25 m2","Pasar Minggu, Jakarta Selatan"
"Rp 850.000.000","3 KT - 2 KM - 80 m2","Cibubur, Jakarta Timur"
"Rp 1.400.000.000",">10 KT - >10 KM - 350 m2","Kembangan, Jakarta Barat"
"Rp 58.000.000.000",">10 KT - >10 KM - 800 m2","Tanah Abang, Jakarta Pusat"
"Rp 100.000.000","1 KT - 1 KM - 44 m2","Makasar, Jakarta Timur"
"Rp 6.500.000.000","5 KT - 5 KM - 218 m2","Cakung, Jakarta Timur"
"Rp 500.000.000","1 KT - 1 KM - 28 m2","Jagakarsa, Jakarta Selatan"
"Rp 5.050.000.000","4 KT - 4 KM - 201 m2","Pantai Indah Kapuk, Jakarta Utara"
"Rp 325.000.000","2 KT - 1 KM - 40 m2","Duren Sawit, Jakarta Timur"
"Rp 155.000.000","2 KT - 1 KM - 30 m2","Kebayoran Lama, Jakarta Selatan"
"Rp 2.800.000.000","3 KT - 3 KM - 135 m2","Cengkareng, Jakarta Barat"
"Rp 3.500.000.000","4 KT - 5 KM - 132 m2","Penjaringan, Jakarta Utara"
"Rp 2.700.000.000","3 KT - 4 KM - 60 m2","Penjaringan, Jakarta Utara"
"Rp 395.000.000","2 KT - 1 KM - 75 m2","Cilangkap, Jakarta Timur"
"Rp 361.350.000","2 KT - 1 KM - 36 m2","Matraman, Jakarta Timur"
"Rp 360.000.000","2 KT - 1 KM - 39 m2","Matraman, Jakarta Timur"
"Rp 650.000.000","2 KT - 1 KM - 105 m2","Ciracas, Jakarta Timur"
"Rp 450.000.000","3 KT - 1 KM - 78 m2","Kramat Jati, Jakarta Timur"
"Rp 2.700.000.000","3 KT - 3 KM - 60 m2","Menteng, Jakarta Pusat"
"Rp 11.000.000","3 KT - 2 KM - 114 m2","Cengkareng, Jakarta Barat"
"Rp 6.200.000.000","7 KT - 2 KM - 300 m2","Setia Budi, Jakarta Selatan"
"Rp 1.599.000.000","5 KT - 2 KM - 300 m2","Duren Sawit, Jakarta Timur"
"Rp 900.000.000","3 KT - 2 KM - 125 m2","Duren Sawit, Jakarta Timur"
"Rp 200.000.000","1 KT - 1 KM - 30 m2","Makasar, Jakarta Timur"
"Rp 2.350.000.000","4 KT - 3 KM - 168 m2","Grogol Petamburan, Jakarta Barat"
"Rp 250.000.000","2 KT - 1 KM - 65 m2","Cilangkap, Jakarta Timur"
"Rp 3.500.000.000","3 KT - 3 KM - 120 m2","Pantai Indah Kapuk, Jakarta Utara"
"Rp 3.000.000.000","4 KT - 4 KM - 119 m2","Pantai Indah Kapuk, Jakarta Utara"
"Rp 599.000.011","2 KT - 1 KM - 36 m2","Pesanggrahan, Jakarta Selatan"
"Rp 1.690.000.000","3 KT - 2 KM - 55 m2","Pantai Indah Kapuk, Jakarta Utara"
"Rp 4.900.000.000","4 KT - 4 KM - 180 m2","Pantai Indah Kapuk, Jakarta Utara"
"Rp 6.000.000.000","4 KT - 4 KM - 250 m2","Pantai Indah Kapuk, Jakarta Utara"
"Rp 7.000.000.000","4 KT - 4 KM - 225 m2","Pantai Indah Kapuk, Jakarta Utara"
"Rp 1.500.000.000","3 KT - 3 KM - 73 m2","Pantai Indah Kapuk, Jakarta Utara"
"Rp 2.600.000.000","3 KT - 3 KM - 90 m2","Pantai Indah Kapuk, Jakarta Utara"
"Rp 6.000.000.000","3 KT - 3 KM - 120 m2","Pantai Indah Kapuk, Jakarta Utara"
"Rp 19.000.000.000","5 KT - 5 KM - 600 m2","Pantai Indah Kapuk, Jakarta Utara"
"Rp 8.250.000.000","4 KT - 4 KM - 380 m2","Pantai Indah Kapuk, Jakarta Utara"
"Rp 5.300.000.000","4 KT - 4 KM - 280 m2","Pantai Indah Kapuk, Jakarta Utara"
"Rp 9.500.000.000","4 KT - 4 KM - 450 m2","Pantai Indah Kapuk, Jakarta Utara"
"Rp 650.000.000","2 KT - 2 KM - 70 m2","Kramat Jati, Jakarta Timur"
"Rp 2.400.000.000","3 KT - 2 KM - 100 m2","Pesanggrahan, Jakarta Selatan"
"Rp 285.000.000","1 KT - 1 KM - 45 m2","Cibubur, Jakarta Timur"
"Rp 4.500.000.000","3 KT - 2 KM - 120 m2","Pantai Indah Kapuk, Jakarta Utara"
"Rp 4.300.000.000","3 KT - 2 KM - 160 m2","Pantai Indah Kapuk, Jakarta Utara"
"Rp 260.000.000","2 KT - 1 KM - 36 m2","Kembangan, Jakarta Barat"
"Rp 1.500.000.000","3 KT - 2 KM - 86 m2","Matraman, Jakarta Timur"
"Rp 2.200.000.000","3 KT - 3 KM - 45 m2","Kelapa Gading, Jakarta Utara"
"Rp 1.690.000.000","3 KT - 2 KM - 55 m2","Pantai Indah Kapuk, Jakarta Utara"
"Rp 60.000.000.000","6 KT - 9 KM - 1500 m2","Penjaringan, Jakarta Utara"
"Rp 3.600.000.000","4 KT - 3 KM - 116 m2","Cakung, Jakarta Timur"
"Rp 4.300.000.000","4 KT - 3 KM - 288 m2","Cakung, Jakarta Timur"
"Rp 1.400.000.000","1 KT - 1 KM - 140 m2","Duren Sawit, Jakarta Timur"
"Rp 285.000.000","1 KT - 1 KM - 45 m2","Cakung, Jakarta Timur"
"Rp 500.000.000","1 KT - 1 KM - 45 m2","Kramat Jati, Jakarta Timur"
"Rp 380.000.000","2 KT - 2 KM - 48 m2","Kramat Jati, Jakarta Timur"
"Rp 1.000.000.000","4 KT - 2 KM - 70 m2","Kramat Jati, Jakarta Timur"
"Rp 575.000.000","2 KT - 1 KM - 90 m2","Kramat Jati, Jakarta Timur"
"Rp 650.000.000","2 KT - 1 KM - 50 m2","Kramat Jati, Jakarta Timur"
"Rp 285.000.000","1 KT - 1 KM - 45 m2","Tebet, Jakarta Selatan"
"Rp 285.000.000","1 KT - 1 KM - 45 m2","Pulo Gadung, Jakarta Timur"
"Rp 2.300.000.000","2 KT - 2 KM - 60 m2","Pantai Indah Kapuk, Jakarta Utara"
"Rp 270.000.000","1 KT - 1 KM - 70 m2","Jagakarsa, Jakarta Selatan"
"Rp 475.000.006","2 KT - 1 KM - 82 m2","Tambora, Jakarta Barat"
"Rp 220.000.000","2 KT - 1 KM - 45 m2","Kramat Jati, Jakarta Timur"
"Rp 300.000.000","2 KT - 1 KM - 45 m2","Cipayung, Jakarta Timur"
"Rp 2.000.000.000","9 KT - 4 KM - 200 m2","Matraman, Jakarta Timur"
"Rp 1.050.000.000","3 KT - 1 KM - 118 m2","Cilandak, Jakarta Selatan"
"Rp 105.000.000","1 KT - 1 KM - 22 m2","Cengkareng, Jakarta Barat"
"Rp 4.000.000.000","4 KT - 3 KM - 120 m2","Tebet, Jakarta Selatan"
"Rp 4.500.000.000","3 KT - 3 KM - 153 m2","Penjaringan, Jakarta Utara"
"Rp 160.000.000","1 KT - 1 KM - 19 m2","Kebon Jeruk, Jakarta Barat"
"Rp 110.000.000","1 KT - 1 KM - 19 m2","Duren Sawit, Jakarta Timur"
"Rp 100.000.000","1 KT - 1 KM - 12 m2","Pulo Gadung, Jakarta Timur"
"Rp 1.500.000.000","3 KT - 2 KM - 120 m2","Senen, Jakarta Pusat"
"Rp 250.000.000","2 KT - 2 KM - 30 m2","Cengkareng, Jakarta Barat"
"Rp 230.000.000","1 KT - 1 KM - 23 m2","Jatinegara, Jakarta Timur"
"Rp 1.650.000.000","3 KT - 3 KM - 63 m2","Cakung, Jakarta Timur"
"Rp 11.500.000.000","4 KT - 3 KM - 420 m2","Pantai Indah Kapuk, Jakarta Utara"
"Rp 350.000.000","4 KT - 4 KM - 216 m2","Pantai Indah Kapuk, Jakarta Utara"
"Rp 9.000.000.000","3 KT - 4 KM - 450 m2","Penjaringan, Jakarta Utara"
"Rp 6.000.000.000","3 KT - 3 KM - 240 m2","Penjaringan, Jakarta Utara"
"Rp 5.700.000.000","3 KT - 3 KM - 192 m2","Penjaringan, Jakarta Utara"
"Rp 4.100.000.000","3 KT - 3 KM - 250 m2","Penjaringan, Jakarta Utara"
"Rp 4.500.000.000","4 KT - 3 KM - 240 m2","Pantai Indah Kapuk, Jakarta Utara"
"Rp 11.500.000.000","4 KT - 3 KM - 625 m2","Pantai Indah Kapuk, Jakarta Utara"
"Rp 185.000.000","1 KT - 1 KM - 50 m2","Jatinegara, Jakarta Timur"
"Rp 3.700.000.000","3 KT - 3 KM - 100 m2","Kramat Jati, Jakarta Timur"
"Rp 3.900.000.000","4 KT - 4 KM - 146 m2","Pantai Indah Kapuk, Jakarta Utara"
"Rp 180.000.000","1 KT - 1 KM - 18 m2","Kramat Jati, Jakarta Timur"
"Rp 2.750.000.000","5 KT - 4 KM - 150 m2","Cakung, Jakarta Timur"
"Rp 350.000.000","1 KT - 1 KM - 25 m2","Cempaka Putih, Jakarta Pusat"
"Rp 3.200.000.000","4 KT - 4 KM - 136 m2","Pantai Indah Kapuk, Jakarta Utara"
"Rp 2.250.000.000","3 KT - 2 KM - 79 m2","Pantai Indah Kapuk, Jakarta Utara"
"Rp 2.500.000.000","4 KT - 3 KM - 107 m2","Pantai Indah Kapuk, Jakarta Utara"
"Rp 4.500.000.000","4 KT - 3 KM - 142 m2","Pantai Indah Kapuk, Jakarta Utara"
"Rp 2.000.000.000","3 KT - 2 KM - 79 m2","Pantai Indah Kapuk, Jakarta Utara"
"Rp 4.200.000.000","4 KT - 4 KM - 170 m2","Pantai Indah Kapuk, Jakarta Utara"
"Rp 4.500.000.000","4 KT - 4 KM - 170 m2","Pantai Indah Kapuk, Jakarta Utara"
"Rp 2.100.000.000","3 KT - 2 KM - 62 m2","Pantai Indah Kapuk, Jakarta Utara"
"Rp 2.800.000.000","4 KT - 3 KM - 103 m2","Pantai Indah Kapuk, Jakarta Utara"
"Rp 2.040.000.000","3 KT - 2 KM - 96 m2","Pantai Indah Kapuk, Jakarta Utara"
"Rp 1.700.000.000","3 KT - 3 KM - 76 m2","Pantai Indah Kapuk, Jakarta Utara"
"Rp 2.000.000.000","3 KT - 3 KM - 85 m2","Pantai Indah Kapuk, Jakarta Utara"
"Rp 2.700.000.000","4 KT - 3 KM - 105 m2","Pantai Indah Kapuk, Jakarta Utara"
"Rp 3.750.000.000","4 KT - 4 KM - 107 m2","Pantai Indah Kapuk, Jakarta Utara"
"Rp 12.000.000.000","5 KT - 3 KM - 330 m2","Pantai Indah Kapuk, Jakarta Utara"
"Rp 6.500.000.000","4 KT - 4 KM - 209 m2","Pantai Indah Kapuk, Jakarta Utara"
"Rp 3.300.000.000","4 KT - 3 KM - 142 m2","Pantai Indah Kapuk, Jakarta Utara"
"Rp 1.500.000.000","2 KT - 2 KM - 62 m2","Pantai Indah Kapuk, Jakarta Utara"
"Rp 2.700.000.000","3 KT - 2 KM - 73 m2","Pantai Indah Kapuk, Jakarta Utara"
"Rp 400.000.000","2 KT - 1 KM - 50 m2","Pesanggrahan, Jakarta Selatan"
"Rp 8.500.000.000","4 KT - 4 KM - 297 m2","Pantai Indah Kapuk, Jakarta Utara"
"Rp 450.000.000","1 KT - 1 KM - 40 m2","Kramat Jati, Jakarta Timur"
"Rp 575.000.000","2 KT - 2 KM - 70 m2","Kramat Jati, Jakarta Timur"
"Rp 1.200.000.000",">10 KT - 4 KM - 200 m2","Palmerah, Jakarta Barat"
"Rp 230.000.000","2 KT - 1 KM - 38 m2","Duren Sawit, Jakarta Timur"
"Rp 300.000.000","2 KT - 1 KM - 70 m2","Tambora, Jakarta Barat"
"Rp 1.593.000.000","3 KT - 2 KM - 67 m2","Cibubur, Jakarta Timur"
"Rp 3.127.000.000","4 KT - 4 KM - 118 m2","Cibubur, Jakarta Timur"
"Rp 2.300.000.000","5 KT - 2 KM - 200 m2","Palmerah, Jakarta Barat"
"Rp 950.000.000","3 KT - 2 KM - 100 m2","Duren Sawit, Jakarta Timur"
"Rp 1.500.000.000","3 KT - 1 KM - 120 m2","Kebon Jeruk, Jakarta Barat"
"Rp 3.800.000.000","3 KT - 3 KM - 90 m2","Pantai Indah Kapuk, Jakarta Utara"
"Rp 3.800.000.000","3 KT - 3 KM - 132 m2","Pantai Indah Kapuk, Jakarta Utara"
"Rp 8.500.000.000","6 KT - 4 KM - 297 m2","Pulo Gadung, Jakarta Timur"
"Rp 1.000.000.000","3 KT - 3 KM - 100 m2","Cakung, Jakarta Timur"
"Rp 255.000.000","2 KT - 2 KM - 100 m2","Kembangan, Jakarta Barat"
"Rp 385.000.000","1 KT - 1 KM - 40 m2","Duren Sawit, Jakarta Timur"
"Rp 4.000.000.000","3 KT - 3 KM - 142 m2","Cilandak, Jakarta Selatan"
"Rp 750.000.000","2 KT - 3 KM - 152 m2","Kramat Jati, Jakarta Timur"
"Rp 550.000.000","1 KT - 1 KM - 66 m2","Tomang, Jakarta Barat"
"Rp 1.300.000.000","3 KT - 2 KM - 160 m2","Kebon Jeruk, Jakarta Barat"
"Rp 2.750.000.000","5 KT - 4 KM - 150 m2","Cakung, Jakarta Timur"
"Rp 1.550.000.000",">10 KT - >10 KM - 200 m2","Palmerah, Jakarta Barat"
